Pathway 1,Database 1,Relation,Pathway 2,Database 2
beta-Alanine metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
beta-Alanine metabolism,KEGG,Part Of,Metabolism,Reactome
Bile secretion,KEGG,Part Of,Digestion,Reactome
Biosynthesis of amino acids,KEGG,Part Of,Metabolism,Reactome
Biosynthesis of amino acids,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Biosynthesis of unsaturated fatty acids,KEGG,Part Of,Fatty Acid Biosynthesis,WikiPathways
Biosynthesis of unsaturated fatty acids,KEGG,Part Of,Fatty acid metabolism,Reactome
Biosynthesis of unsaturated fatty acids,KEGG,Part Of,Metabolism,Reactome
Biosynthesis of unsaturated fatty acids,KEGG,Part Of,Metabolism of lipids,Reactome
Biotin metabolism,KEGG,Part Of,Biotin transport and metabolism,Reactome
Bladder cancer,KEGG,Equivalent,Bladder Cancer,WikiPathways
Butanoate metabolism,KEGG,Part Of,Metabolism,Reactome
Caffeine metabolism,KEGG,Part Of,Caffeine and Theobromine metabolism,WikiPathways
Caffeine metabolism,KEGG,Part Of,Metabolism,Reactome
Carbon metabolism,KEGG,Equivalent,Metabolism of carbohydrates,Reactome
Carbon metabolism,KEGG,Part Of,Metabolism,Reactome
Carbon metabolism,KEGG,Part Of,Pentose phosphate pathway disease,Reactome
Cardiac muscle contraction,KEGG,Part Of,Muscle contraction,Reactome
Cell adhesion molecules (CAMs),KEGG,Part Of,Cell-cell junction organization,Reactome
Cell adhesion molecules (CAMs),KEGG,Part Of,Tight junction interactions,Reactome
Cell cycle,KEGG,Equivalent,Cell Cycle,WikiPathways
Cell cycle,KEGG,Equivalent,Cell Cycle,Reactome
Cellular senescence,KEGG,Equivalent,Cellular Senescence,Reactome
Chemokine signaling pathway,KEGG,Equivalent,Chemokine signaling pathway,WikiPathways
Cholesterol metabolism,KEGG,Part Of,Metabolism,Reactome
Citrate cycle (TCA cycle),KEGG,Equivalent,TCA Cycle,WikiPathways
Citrate cycle (TCA cycle),KEGG,Equivalent,Citric acid cycle (TCA cycle),Reactome
Cocaine addiction,KEGG,Part Of,Common Pathways Underlying Drug Addiction,WikiPathways
Complement and coagulation cascades,KEGG,Equivalent,Complement and Coagulation Cascades,WikiPathways
Complement and coagulation cascades,KEGG,Part Of,Immune System,Reactome
Cortisol synthesis and secretion,KEGG,Part Of,Glucocorticoid and Mineralcorticoid Metabolism,WikiPathways
Cortisol synthesis and secretion,KEGG,Part Of,Metabolism,Reactome
Cysteine and methionine metabolism,KEGG,Part Of,Amino Acid metabolism,WikiPathways
Cysteine and methionine metabolism,KEGG,Part Of,Sulfur amino acid metabolism,Reactome
Cysteine and methionine metabolism,KEGG,Part Of,Metabolism,Reactome
Cysteine and methionine metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Cytokine-cytokine receptor interaction,KEGG,Part Of,Cytokines and Inflammatory Response,WikiPathways
Cytokine-cytokine receptor interaction,KEGG,Part Of,Inflammatory Response Pathway,WikiPathways
Cytokine-cytokine receptor interaction,KEGG,Part Of,Cytokine Signaling in Immune system,Reactome
Cytokine-cytokine receptor interaction,KEGG,Part Of,Immune System,Reactome
Cytokine-cytokine receptor interaction,KEGG,Part Of,Ligand-receptor interactions,Reactome
Cytosolic DNA-sensing pathway,KEGG,Part Of,Cytosolic sensors of pathogen-associated DNA,Reactome
D-Arginine and D-ornithine metabolism,KEGG,Part Of,Metabolism,Reactome
D-Arginine and D-ornithine metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
D-Glutamine and D-glutamate metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
D-Glutamine and D-glutamate metabolism,KEGG,Part Of,Metabolism,Reactome
D-Glutamine and D-glutamate metabolism,KEGG,Part Of,Amino acid synthesis and interconversion (transamination),Reactome
DNA replication,KEGG,Equivalent,DNA Replication,WikiPathways
DNA replication,KEGG,Equivalent,DNA Replication,Reactome
Drug metabolism - cytochrome P450,KEGG,Part Of,Metabolism,Reactome
Drug metabolism - other enzymes,KEGG,Part Of,Metabolism,Reactome
ECM-receptor interaction,KEGG,Part Of,Focal Adhesion,WikiPathways
ECM-receptor interaction,KEGG,Part Of,Extracellular matrix organization,Reactome
Endometrial cancer,KEGG,Equivalent,Endometrial cancer,WikiPathways
ErbB signaling pathway,KEGG,Equivalent,ErbB Signaling Pathway,WikiPathways
Estrogen signaling pathway,KEGG,Equivalent,Estrogen signaling pathway,WikiPathways
Ether lipid metabolism,KEGG,Part Of,Metabolism of lipids,Reactome
Ether lipid metabolism,KEGG,Part Of,Metabolism,Reactome
Fanconi anemia pathway,KEGG,Equivalent,Fanconi Anemia Pathway,Reactome
Fat digestion and absorption,KEGG,Part Of,Intestinal absorption,Reactome
Fat digestion and absorption,KEGG,Part Of,Digestion and absorption,Reactome
Fatty acid biosynthesis,KEGG,Equivalent,Fatty Acid Biosynthesis,WikiPathways
Fatty acid biosynthesis,KEGG,Part Of,Metabolism,Reactome
Fatty acid degradation,KEGG,Part Of,Metabolism of lipids,Reactome
Fatty acid degradation,KEGG,Part Of,Fatty acid metabolism,Reactome
Fatty acid degradation,KEGG,Part Of,Metabolism,Reactome
Fatty acid elongation,KEGG,Part Of,Metabolism,Reactome
Fatty acid elongation,KEGG,Part Of,Metabolism of lipids,Reactome
Fatty acid elongation,KEGG,Part Of,Fatty acid metabolism,Reactome
Fatty acid elongation,KEGG,Part Of,Fatty acids,Reactome
Fatty acid metabolism,KEGG,Equivalent,Fatty acid metabolism,Reactome
Fatty acid metabolism,KEGG,Part Of,Metabolism of lipids,Reactome
Fatty acid metabolism,KEGG,Part Of,Metabolism,Reactome
Fatty acid metabolism,KEGG,Part Of,Mitochondrial Fatty Acid Beta-Oxidation,Reactome
Fc epsilon RI signaling pathway,KEGG,Equivalent,Fc epsilon receptor (FCERI) signaling,Reactome
Fc gamma R-mediated phagocytosis,KEGG,Equivalent,Fcgamma receptor (FCGR) dependent phagocytosis,Reactome
Focal adhesion,KEGG,Equivalent,Focal Adhesion,WikiPathways
Folate biosynthesis,KEGG,Part Of,Metabolism,Reactome
Folate biosynthesis,KEGG,Part Of,Metabolism of water-soluble vitamins and cofactors,Reactome
Folate biosynthesis,KEGG,Part Of,Metabolism of vitamins and cofactors,Reactome
Fructose and mannose metabolism,KEGG,Part Of,Metabolism,Reactome
GABAergic synapse,KEGG,Part Of,GABA receptor Signaling,WikiPathways
Gastric acid secretion,KEGG,Equivalent,Secretion of Hydrochloric Acid in Parietal Cells,WikiPathways
Glucagon signaling pathway,KEGG,Part Of,Glycolysis and Gluconeogenesis,WikiPathways
Glucagon signaling pathway,KEGG,Part Of,Energy Metabolism,WikiPathways
Glucagon signaling pathway,KEGG,Part Of,Glycogen Metabolism,WikiPathways
Glucagon signaling pathway,KEGG,Equivalent,Glucagon signaling in metabolic regulation,Reactome
Glutamatergic synapse,KEGG,Part Of,Neurotransmitter uptake and metabolism In glial cells,Reactome
Glutathione metabolism,KEGG,Equivalent,Glutathione metabolism,WikiPathways
Glutathione metabolism,KEGG,Equivalent,Glutathione synthesis and recycling,Reactome
Glycerolipid metabolism,KEGG,Part Of,Metabolism of lipids,Reactome
Glycerolipid metabolism,KEGG,Part Of,Metabolism,Reactome
Glycerophospholipid metabolism,KEGG,Part Of,Metabolism of lipids,Reactome
Glycerophospholipid metabolism,KEGG,Part Of,Metabolism,Reactome
"Glycine, serine and threonine metabolism",KEGG,Part Of,Urea cycle and metabolism of amino groups,WikiPathways
"Glycine, serine and threonine metabolism",KEGG,Part Of,Amino Acid metabolism,WikiPathways
"Glycine, serine and threonine metabolism",KEGG,Part Of,Metabolism,Reactome
"Glycine, serine and threonine metabolism",KEGG,Part Of,Amine Oxidase reactions,Reactome
"Glycine, serine and threonine metabolism",KEGG,Part Of,Amino acid synthesis and interconversion (transamination),Reactome
"Glycine, serine and threonine metabolism",KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Glycolysis / Gluconeogenesis,KEGG,Equivalent,Glycolysis and Gluconeogenesis,WikiPathways
Glycolysis / Gluconeogenesis,KEGG,Part Of,Glucose metabolism,Reactome
Glycolysis / Gluconeogenesis,KEGG,Part Of,Metabolism,Reactome
Glycolysis / Gluconeogenesis,KEGG,Part Of,Metabolism of carbohydrates,Reactome
Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate,KEGG,Part Of,Metabolism,Reactome
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,KEGG,Part Of,Metabolism,Reactome
Glycosaminoglycan biosynthesis - heparan sulfate / heparin,KEGG,Part Of,Glycosaminoglycan metabolism,Reactome
Glycosaminoglycan biosynthesis - keratan sulfate,KEGG,Part Of,Glycosaminoglycan metabolism,Reactome
Glycosaminoglycan biosynthesis - keratan sulfate,KEGG,Part Of,Metabolism,Reactome
Glycosaminoglycan degradation,KEGG,Part Of,Metabolism,Reactome
Glycosaminoglycan degradation,KEGG,Part Of,Glycosaminoglycan metabolism,Reactome
Glycosphingolipid biosynthesis - ganglio series,KEGG,Part Of,Ganglio Sphingolipid Metabolism,WikiPathways
Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG,Part Of,Globo Sphingolipid Metabolism,WikiPathways
Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG,Part Of,Sphingolipid metabolism,Reactome
Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG,Part Of,Glycosphingolipid metabolism,Reactome
Glycosphingolipid biosynthesis - globo and isoglobo series,KEGG,Part Of,Metabolism of lipids,Reactome
Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG,Part Of,Metabolism of lipids,Reactome
Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG,Part Of,Glycosphingolipid metabolism,Reactome
Glycosphingolipid biosynthesis - lacto and neolacto series,KEGG,Part Of,Sphingolipid metabolism,Reactome
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis,KEGG,Equivalent,Synthesis of glycosylphosphatidylinositol (GPI),Reactome
Glyoxylate and dicarboxylate metabolism,KEGG,Part Of,Metabolism,Reactome
Glyoxylate and dicarboxylate metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Graft-versus-host disease,KEGG,Part Of,Allograft Rejection,WikiPathways
Graft-versus-host disease,KEGG,Part Of,Adaptive Immune System,Reactome
Graft-versus-host disease,KEGG,Part Of,Immune System,Reactome
Hedgehog signaling pathway,KEGG,Equivalent,Hedgehog Signaling Pathway,WikiPathways
Hedgehog signaling pathway,KEGG,Equivalent,Signaling by Hedgehog,Reactome
Hepatocellular carcinoma,KEGG,Part Of,Hepatitis C and Hepatocellular Carcinoma,WikiPathways
Hippo signaling pathway,KEGG,Equivalent,Signaling by Hippo,Reactome
Hippo signaling pathway - multiple species,KEGG,Equivalent,Signaling by Hippo,Reactome
Histidine metabolism,KEGG,Part Of,Amino Acid metabolism,WikiPathways
Histidine metabolism,KEGG,Part Of,"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",Reactome
Histidine metabolism,KEGG,Part Of,Metabolism,Reactome
Histidine metabolism,KEGG,Part Of,Amine Oxidase reactions,Reactome
Histidine metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Homologous recombination,KEGG,Equivalent,Homologous recombination,WikiPathways
IL-17 signaling pathway,KEGG,Equivalent,IL17 signaling pathway,WikiPathways
IL-17 signaling pathway,KEGG,Equivalent,Interleukin-17 signaling,Reactome
IL-17 signaling pathway,KEGG,Part Of,Cytokine Signaling in Immune system,Reactome
IL-17 signaling pathway,KEGG,Part Of,Signaling by Interleukins,Reactome
IL-17 signaling pathway,KEGG,Part Of,Immune System,Reactome
Influenza A,KEGG,Part Of,Influenza Life Cycle,Reactome
Influenza A,KEGG,Part Of,Influenza Infection,Reactome
Inositol phosphate metabolism,KEGG,Equivalent,Inositol phosphate metabolism,Reactome
Insulin resistance,KEGG,Part Of,Type II diabetes mellitus,WikiPathways
Insulin resistance,KEGG,Part Of,Insulin signalling in human adipocytes (diabetic condition),WikiPathways
Insulin secretion,KEGG,Equivalent,Regulation of insulin secretion,Reactome
Insulin signaling pathway,KEGG,Part Of,Insulin signalling in human adipocytes (normal condition),WikiPathways
Insulin signaling pathway,KEGG,Part Of,Glucose Homeostasis,WikiPathways
Intestinal immune network for IgA production,KEGG,Part Of,Immune System,Reactome
Intestinal immune network for IgA production,KEGG,Part Of,Adaptive Immune System,Reactome
Linoleic acid metabolism,KEGG,Equivalent,Linoleic acid (LA) metabolism,Reactome
Linoleic acid metabolism,KEGG,Part Of,Metabolism,Reactome
Linoleic acid metabolism,KEGG,Part Of,Metabolism of lipids,Reactome
Lipoic acid metabolism,KEGG,Part Of,Lipid Metabolism Pathway,WikiPathways
Lipoic acid metabolism,KEGG,Part Of,Fatty acid metabolism,Reactome
Lipoic acid metabolism,KEGG,Part Of,Metabolism,Reactome
Lysine degradation,KEGG,Part Of,Amino Acid metabolism,WikiPathways
Lysine degradation,KEGG,Equivalent,Lysine catabolism,Reactome
MAPK signaling pathway,KEGG,Equivalent,MAPK Signaling Pathway,WikiPathways
MAPK signaling pathway,KEGG,Equivalent,MAPK family signaling cascades,Reactome
Melanogenesis,KEGG,Equivalent,Melanin biosynthesis,Reactome
Metabolic pathways,KEGG,Equivalent,Metabolism,Reactome
Metabolism of xenobiotics by cytochrome P450,KEGG,Part Of,Xenobiotics,Reactome
Mineral absorption,KEGG,Part Of,Intestinal absorption,Reactome
Mineral absorption,KEGG,Part Of,Digestion and absorption,Reactome
Mineral absorption,KEGG,Part Of,Transport of small molecules,Reactome
Mismatch repair,KEGG,Equivalent,Mismatch repair,WikiPathways
Mismatch repair,KEGG,Equivalent,Mismatch Repair,Reactome
Mitophagy - animal,KEGG,Equivalent,Mitophagy,Reactome
Morphine addiction,KEGG,Part Of,Common Pathways Underlying Drug Addiction,WikiPathways
mTOR signaling pathway,KEGG,Equivalent,Target Of Rapamycin (TOR) Signaling,WikiPathways
mTOR signaling pathway,KEGG,Part Of,PI3K-Akt Signaling Pathway,WikiPathways
mTOR signaling pathway,KEGG,Part Of,PI3K-AKT-mTOR signaling pathway and therapeutic opportunities,WikiPathways
mTOR signaling pathway,KEGG,Part Of,Focal Adhesion-PI3K-Akt-mTOR-signaling pathway,WikiPathways
mTOR signaling pathway,KEGG,Equivalent,mTOR signalling,Reactome
Natural killer cell mediated cytotoxicity,KEGG,Part Of,Immune System,Reactome
Necroptosis,KEGG,Equivalent,Regulation of necroptotic cell death,Reactome
"Neomycin, kanamycin and gentamicin biosynthesis",KEGG,Part Of,Metabolism,Reactome
Nicotinate and nicotinamide metabolism,KEGG,Part Of,Metabolism,Reactome
Nitrogen metabolism,KEGG,Part Of,Metabolism,Reactome
Nitrogen metabolism,KEGG,Part Of,Amino acid synthesis and interconversion (transamination),Reactome
Nitrogen metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Non-homologous end-joining,KEGG,Equivalent,Non-homologous end joining,WikiPathways
Non-homologous end-joining,KEGG,Equivalent,Nonhomologous End-Joining (NHEJ),Reactome
Notch signaling pathway,KEGG,Equivalent,Notch Signaling Pathway,WikiPathways
Notch signaling pathway,KEGG,Equivalent,Canonical  and Non-canonical Notch signaling,WikiPathways
Notch signaling pathway,KEGG,Equivalent,Signaling by NOTCH,Reactome
Nucleotide excision repair,KEGG,Equivalent,Nucleotide Excision Repair,Reactome
Olfactory transduction,KEGG,Equivalent,Olfactory Signaling Pathway,Reactome
One carbon pool by folate,KEGG,Part Of,One carbon metabolism and related pathways,WikiPathways
One carbon pool by folate,KEGG,Part Of,One carbon donor,WikiPathways
One carbon pool by folate,KEGG,Part Of,One Carbon Metabolism,WikiPathways
One carbon pool by folate,KEGG,Part Of,Folate Metabolism,WikiPathways
One carbon pool by folate,KEGG,Part Of,Metabolism of folate and pterines,Reactome
One carbon pool by folate,KEGG,Part Of,Metabolism,Reactome
One carbon pool by folate,KEGG,Part Of,Metabolism of vitamins and cofactors,Reactome
Other glycan degradation,KEGG,Part Of,Metabolism,Reactome
Ovarian steroidogenesis,KEGG,Part Of,Metabolism,Reactome
Oxidative phosphorylation,KEGG,Equivalent,Oxidative phosphorylation,WikiPathways
Oxidative phosphorylation,KEGG,Part Of,Metabolism,Reactome
Oxidative phosphorylation,KEGG,Part Of,The citric acid (TCA) cycle and respiratory electron transport,Reactome
Oxytocin signaling pathway,KEGG,Equivalent,Oxytocin signaling,WikiPathways
Pantothenate and CoA biosynthesis,KEGG,Part Of,Metabolism of vitamins and cofactors,Reactome
Pantothenate and CoA biosynthesis,KEGG,Part Of,Metabolism,Reactome
Parkinson disease,KEGG,Equivalent,Parkinsons Disease Pathway,WikiPathways
Pathogenic Escherichia coli infection,KEGG,Equivalent,Pathogenic Escherichia coli infection,WikiPathways
Pentose and glucuronate interconversions,KEGG,Part Of,Glucuronidation,WikiPathways
Pentose and glucuronate interconversions,KEGG,Part Of,Metabolism,Reactome
Pentose phosphate pathway,KEGG,Equivalent,Pentose Phosphate Pathway,WikiPathways
Pentose phosphate pathway,KEGG,Part Of,Glycolysis and Gluconeogenesis,WikiPathways
Pentose phosphate pathway,KEGG,Equivalent,Pentose phosphate pathway,Reactome
Peroxisome,KEGG,Part Of,Metabolism,Reactome
Phagosome,KEGG,Part Of,Adaptive Immune System,Reactome
Phagosome,KEGG,Part Of,Immune System,Reactome
Phagosome,KEGG,Part Of,Innate Immune System,Reactome
Phenylalanine metabolism,KEGG,Part Of,Amino Acid metabolism,WikiPathways
Phenylalanine metabolism,KEGG,Part Of,Biogenic Amine Synthesis,WikiPathways
Phenylalanine metabolism,KEGG,Part Of,Metabolism,Reactome
Phenylalanine metabolism,KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
Phenylalanine metabolism,KEGG,Part Of,Amino acid synthesis and interconversion (transamination),Reactome
Phenylalanine metabolism,KEGG,Part Of,"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",Reactome
"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG,Part Of,Biogenic Amine Synthesis,WikiPathways
"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG,Part Of,Metabolism,Reactome
"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG,Part Of,Metabolism of amino acids and derivatives,Reactome
"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG,Part Of,Amino acid synthesis and interconversion (transamination),Reactome
"Phenylalanine, tyrosine and tryptophan biosynthesis",KEGG,Part Of,"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",Reactome
Phosphatidylinositol signaling system,KEGG,Part Of,Metabolism,Reactome
Phosphonate and phosphinate metabolism,KEGG,Part Of,Metabolism,Reactome
Phototransduction,KEGG,Equivalent,Visual phototransduction,Reactome
PI3K-Akt signaling pathway,KEGG,Equivalent,PI3K-Akt Signaling Pathway,WikiPathways
PI3K-Akt signaling pathway,KEGG,Equivalent,PI3K/AKT activation,Reactome
Porphyrin and chlorophyll metabolism,KEGG,Part Of,Metabolism,Reactome
PPAR signaling pathway,KEGG,Equivalent,PPAR signaling pathway,WikiPathways
Primary bile acid biosynthesis,KEGG,Part Of,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,Reactome
Primary bile acid biosynthesis,KEGG,Part Of,Metabolism,Reactome
Primary bile acid biosynthesis,KEGG,Part Of,Synthesis of bile acids and bile salts,Reactome
Primary bile acid biosynthesis,KEGG,Part Of,Synthesis of bile acids and bile salts via 24-hydroxycholesterol,Reactome
Primary bile acid biosynthesis,KEGG,Part Of,Bile acid and bile salt metabolism,Reactome
Prion diseases,KEGG,Equivalent,Prion disease pathway,WikiPathways
Prolactin signaling pathway,KEGG,Equivalent,Prolactin Signaling Pathway,WikiPathways
Prolactin signaling pathway,KEGG,Equivalent,Prolactin receptor signaling,Reactome
Propanoate metabolism,KEGG,Part Of,Metabolism,Reactome
Proteasome,KEGG,Equivalent,Proteasome Degradation,WikiPathways
Proteasome,KEGG,Part Of,Metabolism of proteins,Reactome
Protein digestion and absorption,KEGG,Part Of,Intestinal absorption,Reactome
Protein digestion and absorption,KEGG,Part Of,Digestion and absorption,Reactome
Protein digestion and absorption,KEGG,Part Of,Metabolism of proteins,Reactome
Protein processing in endoplasmic reticulum,KEGG,Part Of,Metabolism of proteins,Reactome
Purine metabolism,KEGG,Part Of,Nucleotide Metabolism,WikiPathways
Purine metabolism,KEGG,Part Of,DNA Replication,WikiPathways
Purine metabolism,KEGG,Part Of,Homologous recombination,WikiPathways
Purine metabolism,KEGG,Part Of,Nucleobase catabolism,Reactome
Purine metabolism,KEGG,Part Of,Metabolism of nucleotides,Reactome
Pyrimidine metabolism,KEGG,Equivalent,Pyrimidine metabolism,WikiPathways
Pyrimidine metabolism,KEGG,Part Of,Metabolism of nucleotides,Reactome
Pyruvate metabolism,KEGG,Equivalent,Pyruvate metabolism,Reactome
Rap1 signaling pathway,KEGG,Equivalent,Rap1 signalling,Reactome
Regulation of actin cytoskeleton,KEGG,Equivalent,Regulation of Actin Cytoskeleton,WikiPathways
Regulation of lipolysis in adipocytes,KEGG,Part Of,Lipid Metabolism Pathway,WikiPathways
Regulation of lipolysis in adipocytes,KEGG,Part Of,Metabolism of lipids,Reactome
Retinol metabolism,KEGG,Part Of,Vitamins,Reactome
Retinol metabolism,KEGG,Part Of,Metabolism,Reactome
Retrograde endocannabinoid signaling,KEGG,Part Of,Cannabinoid receptor signaling,WikiPathways
Riboflavin metabolism,KEGG,Equivalent,Vitamin B2 (riboflavin) metabolism,Reactome
Ribosome biogenesis in eukaryotes,KEGG,Part Of,Metabolism of RNA,Reactome
RIG-I-like receptor signaling pathway,KEGG,Equivalent,RIG-I-like Receptor Signaling,WikiPathways
RIG-I-like receptor signaling pathway,KEGG,Part Of,Immune System,Reactome
RIG-I-like receptor signaling pathway,KEGG,Part Of,Innate Immune System,Reactome
RNA degradation,KEGG,Part Of,Metabolism of RNA,Reactome
RNA polymerase,KEGG,Part Of,Eukaryotic Transcription Initiation,WikiPathways
Selenocompound metabolism,KEGG,Equivalent,Selenium Metabolism and Selenoproteins,WikiPathways
Selenocompound metabolism,KEGG,Part Of,Metabolism,Reactome
SNARE interactions in vesicular transport,KEGG,Part Of,Synaptic Vesicle Pathway,WikiPathways
SNARE interactions in vesicular transport,KEGG,Part Of,Vesicle-mediated transport,Reactome
SNARE interactions in vesicular transport,KEGG,Part Of,Membrane Trafficking,Reactome
Sphingolipid metabolism,KEGG,Equivalent,Sphingolipid Metabolism,WikiPathways
Sphingolipid metabolism,KEGG,Part Of,Sphingolipid Metabolism,WikiPathways
Sphingolipid metabolism,KEGG,Equivalent,Sphingolipid metabolism,Reactome
Sphingolipid signaling pathway,KEGG,Part Of,Sphingolipid Metabolism,WikiPathways
Spliceosome,KEGG,Part Of,mRNA Processing,WikiPathways
Spliceosome,KEGG,Part Of,Processing of Capped Intronless Pre-mRNA,Reactome
Spliceosome,KEGG,Part Of,mRNA Splicing,Reactome
Spliceosome,KEGG,Part Of,Metabolism of RNA,Reactome
Spliceosome,KEGG,Part Of,mRNA Splicing - Major Pathway,Reactome
Spliceosome,KEGG,Part Of,Gene expression (Transcription),Reactome
Spliceosome,KEGG,Part Of,mRNA Splicing - Minor Pathway,Reactome
Spliceosome,KEGG,Part Of,Processing of Capped Intron-Containing Pre-mRNA,Reactome
