Pathway 1,Database 1,Relation,Pathway 2,Database 2
Interleukin-1 processing,Reactome,Part Of,Cytokines and Inflammatory Response,WikiPathways
Interleukin-4 and Interleukin-13 signaling,Reactome,Part Of,Cytokines and Inflammatory Response,WikiPathways
Intrinsic Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and coagulation cascades,KEGG
Intrinsic Pathway of Fibrin Clot Formation,Reactome,Part Of,Complement and Coagulation Cascades,WikiPathways
Laminin interactions,Reactome,Part Of,ECM-receptor interaction,KEGG
Lysosome Vesicle Biogenesis,Reactome,Part Of,Lysosome,KEGG
Metabolism of Angiotensinogen to Angiotensins,Reactome,Part Of,Renin-angiotensin system,KEGG
Neurofascin interactions,Reactome,Part Of,Cell adhesion molecules (CAMs),KEGG
Nicotinamide salvaging,Reactome,Part Of,Nicotinate and nicotinamide metabolism,KEGG
Nicotinate metabolism,Reactome,Part Of,Nicotinate and nicotinamide metabolism,KEGG
Purine catabolism,Reactome,Part Of,Purine metabolism,KEGG
Purine salvage,Reactome,Part Of,Purine metabolism,KEGG
TNFs bind their physiological receptors,Reactome,Part Of,Cytokine-cytokine receptor interaction,KEGG
Tryptophan catabolism,Reactome,Part Of,Tryptophan metabolism,WikiPathways
ACE Inhibitor Pathway,WikiPathways,Part Of,Renin-angiotensin system,KEGG
Complement Activation,WikiPathways,Part Of,Complement and coagulation cascades,KEGG
"Degradation pathway of sphingolipids, including diseases",WikiPathways,Part Of,Glycosphingolipid metabolism,Reactome
Eicosanoid Synthesis,WikiPathways,Part Of,Arachidonic acid metabolism,Reactome
Eicosanoid Synthesis,WikiPathways,Part Of,Eicosanoids,Reactome
Fibrin Complement Receptor 3 Signaling Pathway,WikiPathways,Part Of,Innate Immune System,Reactome
Inflammatory Response Pathway,WikiPathways,Part Of,Cytokine Signaling in Immune system,Reactome
Macrophage markers,WikiPathways,Part Of,Innate Immune System,Reactome
Matrix Metalloproteinases,WikiPathways,Part Of,Extracellular matrix organization,Reactome
Microglia Pathogen Phagocytosis Pathway,WikiPathways,Part Of,Innate Immune System,Reactome
Monoamine Transport,WikiPathways,Part Of,Neurotransmitter clearance,Reactome
NAD Biosynthesis II (from tryptophan),WikiPathways,Part Of,Nicotinate and nicotinamide metabolism,KEGG
NAD Biosynthesis II (from tryptophan),WikiPathways,Part Of,Tryptophan catabolism,Reactome
NAD Biosynthesis II (from tryptophan),WikiPathways,Part Of,Nicotinate metabolism,Reactome
Nicotine Metabolism,WikiPathways,Part Of,Nicotinate and nicotinamide metabolism,KEGG
Peptide GPCRs,WikiPathways,Part Of,Signaling by GPCR,Reactome
Peptide GPCRs,WikiPathways,Part Of,GPCR ligand binding,Reactome
Small Ligand GPCRs,WikiPathways,Part Of,Signaling by GPCR,Reactome
Small Ligand GPCRs,WikiPathways,Part Of,GPCR ligand binding,Reactome
TLR4 Signaling and Tolerance,WikiPathways,Part Of,Innate Immune System,Reactome
Type III interferon signaling,WikiPathways,Part Of,Other interleukin signaling,Reactome
Type III interferon signaling,WikiPathways,Part Of,Cytokine Signaling in Immune system,Reactome
Type III interferon signaling,WikiPathways,Part Of,Interferon Signaling,Reactome
